Index	Titulo	Ano	Duração	Classificação	Avaliação	Escolhido
1	Um Sonho de Liberdade	1994	2h 22m	16	9.3	S
2	O Poderoso Chefão	1972	2h 55m	14	9.2	S
3	Batman: O Cavaleiro das Trevas	2008	2h 32m	12	9.0	S
4	O Poderoso Chefão II	1974	3h 22m	14	9.0	S
5	12 Homens e uma Sentença	1957	1h 36m	9	0.0	N
6	A Lista de Schindler	1993	3h 15m	14	9.0	S
7	O Senhor dos Anéis: O Retorno do Rei	2003	3h 21m	14	9.0	S
8	Pulp Fiction - Tempo de Violência	1994	2h 34m	18	8.9	N
9	O Senhor dos Anéis: A Sociedade do Anel	2001	2h 58m	12	8.8	N
10	Três Homens em Conflito	1966	2h 41m	14	8.8	N
11	Forrest Gump: O Contador de Histórias	1994	2h 22m	14	8.8	N
12	Clube da Luta	1999	2h 19m	18	8.8	N
13	O Senhor dos Anéis: As Duas Torres	2002	2h 59m	12	8.8	N
14	A Origem	2010	2h 28m	14	8.8	N
15	Homem-Aranha: Através do Aranhaverso	2023	2h 20m	10	8.9	N
16	Star Wars: Episódio V - O Império Contra-Ataca	1980	2h 4m	8	7.0	N
17	Matrix	1999	2h 16m	14	8.7	N
18	Os Bons Companheiros	1990	2h 25m	14	8.7	N
19	Um Estranho no Ninho	1975	2h 13m	16	8.7	N
20	Seven: Os Sete Crimes Capitais	1995	2h 7m	14	8.6	N
21	A Felicidade Não se Compra	1946	2h 10m	8	6.0	N
22	Os Sete Samurais	1954	3h 27m	10	8.6	N
23	O Silêncio dos Inocentes	1991	1h 58m	14	8.6	N
24	Interestelar	2014	2h 49m	10	8.7	N
25	O Resgate do Soldado Ryan	1998	2h 49m	14	8.6	N
26	Cidade de Deus	2002	2h 10m	18	8.6	N
27	A Vida é Bela	1997	1h 56m	8	6.0	N
28	À Espera de um Milagre	1999	3h 9m	18	8.6	N
29	Star Wars: Episódio IV - Uma Nova Esperança	1977	2h 1m	8	6.0	N
30	Oppenheimer20233h168.7Rate31. O Exterminador do Futuro 2: O Julgamento Final	1991	2h 17m	14	8.6	N
32	De Volta para o Futuro	1985	1h 56m	8	5.0	N
33	A Viagem de Chihiro	2001	2h 5m	8	6.0	N
34	O Pianista	2002	2h 30m	14	8.5	N
35	Psicose	1960	1h 49m	14	8.5	N
